NLCD_landcover,Description,land use,N
11,Open water,11,0.05
12,Snow and Ice,12,0.01
21,"developed, open space",21,0.013
22,"developed, low intensity ",22,0.013
23,"developed, medium intesnity",23,0.013
24,"developed, high intensity ",24,0.013
31,bare land ,31,0.035
41,Deciduous forest,41,0.1
42,Evergreen forest ,42,0.1
43,Mixed forest,43,0.1
51,Dwarf scurb,51,0.05
52,shrub/scrub,52,0.05
71,Grasslands,71,0.04
72,sedge/herbaceous,72,0.04
73,Lichens,73,0.027
74,Moss,74,0.027
81,Pasture,81,0.035
82,Cultivated crops,82,0.04
90,Woody Wetlands,90,0.04
95,Herbaceous Wetlands,95,0.04
0,No Data,0,-999
