Date,Time (GMT),Verified (ft),8720218
05/10/2016,00:00,0.66,0.201158183
05/10/2016,01:00,1.49,0.454129838
05/10/2016,02:00,2.13,0.649192319
05/10/2016,03:00,2.59,0.789393478
05/10/2016,04:00,2.79,0.850350503
05/10/2016,05:00,2.38,0.725388601
05/10/2016,06:00,1.71,0.521182566
05/10/2016,07:00,1,0.304785126
05/10/2016,08:00,0.22,0.067052728
05/10/2016,09:00,-0.25,-0.076196282
05/10/2016,10:00,-0.31,-0.094483389
05/10/2016,11:00,-0.01,-0.003047851
05/10/2016,12:00,0.74,0.225540994
05/10/2016,13:00,1.51,0.460225541
05/10/2016,14:00,2.17,0.661383724
05/10/2016,15:00,2.77,0.8442548
05/10/2016,16:00,3.08,0.93873819
05/10/2016,17:00,3.1,0.944833892
05/10/2016,18:00,2.65,0.807680585
05/10/2016,19:00,1.9,0.57909174
05/10/2016,20:00,0.92,0.280402316
05/10/2016,21:00,0.22,0.067052728
05/10/2016,22:00,-0.05,-0.015239256
05/10/2016,23:00,0.07,0.021334959
06/10/2016,00:00,0.56,0.170679671
06/10/2016,01:00,1.29,0.393172813
06/10/2016,02:00,1.91,0.582139592
06/10/2016,03:00,2.4,0.731484304
06/10/2016,04:00,2.74,0.835111247
06/10/2016,05:00,2.87,0.874733313
06/10/2016,06:00,2.41,0.734532155
06/10/2016,07:00,1.89,0.576043889
06/10/2016,08:00,1.2,0.365742152
06/10/2016,09:00,0.51,0.155440415
06/10/2016,10:00,0.32,0.09753124
06/10/2016,11:00,0.36,0.109722646
06/10/2016,12:00,0.78,0.237732399
06/10/2016,13:00,1.47,0.448034136
06/10/2016,14:00,2.1,0.640048766
06/10/2016,15:00,2.72,0.829015544
06/10/2016,16:00,3.13,0.953977446
06/10/2016,17:00,3.4,1.03626943
06/10/2016,18:00,3.37,1.027125876
06/10/2016,19:00,2.85,0.86863761
06/10/2016,20:00,2.3,0.701005791
06/10/2016,21:00,1.51,0.460225541
06/10/2016,22:00,0.73,0.222493142
